cycle,amb_temp,date_time,voltage_battery,current_battery,temp_battery,current_load,voltage_load,time,capacity
1,24,"02 Apr 2008, 15:25:41",2.475767757,-2.009435892,39.16298653,-1.999,1.653,3690.234,2.035337591
3,24,"02 Apr 2008, 19:43:48",2.351525512,-2.010374856,39.24620268,-1.999,1.543,3672.344,2.025140246
5,24,"03 Apr 2008, 0:01:06",2.440479715,-2.008558887,38.99920246,-1.999,1.65,3651.641,2.013326371
7,24,"03 Apr 2008, 4:16:37",2.479155854,-2.009290448,38.84362777,-1.999,1.69,3631.563,2.013284666
9,24,"03 Apr 2008, 8:33:25",2.280187848,-2.01176084,38.97798888,-1.999,1.488,3629.172,2.000528338
11,24,"03 Apr 2008, 12:55:10",2.439284257,-2.010947045,38.83989921,-1.999,1.659,3652.281,2.013899076
13,24,"03 Apr 2008, 17:17:16",2.281206845,-2.012014627,39.04610837,-1.9992,1.505,3650.828,2.013101106
15,24,"03 Apr 2008, 21:28:14",2.366410527,-2.009602654,38.87507521,-1.9992,1.602,3572.453,1.968789826
17,24,"04 Apr 2008, 1:38:15",2.43602005,-2.010503182,38.72605398,-1.999,1.664,3550.594,1.968166176
19,24,"04 Apr 2008, 5:48:08",2.186437749,-2.012000629,38.98629729,-1.999,1.411,3551.25,1.957230792
21,24,"04 Apr 2008, 9:57:19",2.340602361,-2.008605764,38.65978862,-1.9992,1.583,3530.25,1.945599151
24,24,"04 Apr 2008, 17:56:27",2.426302137,-2.008093199,38.84979196,-1.999,1.659,3491.016,1.934750504
26,24,"04 Apr 2008, 22:01:54",2.47536977,-2.008861764,38.75128344,-1.999,1.704,3470.281,1.923279954
28,24,"05 Apr 2008, 2:20:26",2.342364524,-2.01142588,38.76853764,-1.999,1.59,3470,1.911889931
30,24,"05 Apr 2008, 6:25:01",2.188400082,-2.009440178,38.84686112,-1.999,1.433,3450.297,1.901066714
32,24,"05 Apr 2008, 10:30:32",2.120698095,-2.006293377,38.86588978,-1.999,1.371,3429.407,1.889198995
34,24,"05 Apr 2008, 14:34:41",2.369981458,-2.008399903,38.64757873,-1.999,1.625,3409.484,1.878278372
36,24,"05 Apr 2008, 18:39:25",2.24799165,-2.010307487,38.79218188,-1.999,1.524,3390.422,1.867569716
38,24,"05 Apr 2008, 22:46:35",2.88444637,-0.00227724107,38.77022224,-0.0008,0,3390.281,1.867589257
